Model,Accuracy,Precision,Recall
Densenet_stage1_baseline,0.880,0.875,0.887
Densenet_stage2_baseline,0.598,0.590,0.579
Densenet_stage3_baseline,0.550,0.540,0.545
Densenet_stage1 FC,0.893,0.888,0.900
Densenet_stage2 FC,0.581,0.583,0.564
Densenet_stage3 FC,0.573,0.578,0.569
Densenet_stage1 all,0.959,0.949,0.970
Densenet_stage2 all,0.804,0.807,0.789
Densenet_stage3 all,0.696,0.692,0.685
